Team,Player,SofascoreScore
Everton,Ashley Young,6.69
Bournemouth,Enes Ünal,6.68
Nottingham Forest,Odisseas Vlachodimos,6.68
Brighton & Hove Albion,Adam Lallana,6.68
Brighton & Hove Albion,Mahmoud Dahoud,6.68
Crystal Palace,Joel Ward,6.68
Everton,Séamus Coleman,6.68
Chelsea,Carney Chukwuemeka,6.67
Everton,Arnaut Danjuma,6.67
Fulham,Carlos Vinícius,6.67
Nottingham Forest,Matz Sels,6.67
West Ham United,Danny Ings,6.67
Everton,Lewis Dobbin,6.67
Tottenham Hotspur,Oliver Skipp,6.67
West Ham United,Angelo Ogbonna,6.67
Luton Town,Luke Berry,6.66
Arsenal,Reiss Nelson,6.66
Luton Town,Jordan Clark,6.66
Everton,Nathan Patterson,6.66
Bournemouth,Kieffer Moore,6.66
Nottingham Forest,Andrew Omobamidele,6.66
Aston Villa,Diego Carlos,6.66
Brentford,Yehor Yarmoliuk,6.66
Chelsea,Alfie Gilchrist,6.66
Brentford,Mads Roerslev,6.66
Sheffield United,George Baldock,6.66
Sheffield United,Jayden Bogle,6.66
Sheffield United,Luke Thomas,6.66
Nottingham Forest,Joe Worrall,6.65
Brighton & Hove Albion,Tariq Lamptey,6.65
Brighton & Hove Albion,Jakub Moder,6.65
Brentford,Aaron Hickey,6.65
Sheffield United,James Mcatee,6.65
Burnley,Lorenz Assignon,6.65
Nottingham Forest,Divock Origi,6.64
Burnley,Hjalmar Ekdal,6.64
Manchester United,Sofyan Amrabat,6.64
Chelsea,Cesare Casadei,6.64
Bournemouth,Hamed Junior Traorè,6.64
Crystal Palace,Jaïro Riedewald,6.63
Arsenal,Cédric Soares,6.63
Arsenal,Aaron Ramsdale,6.63
Everton,Youssef Chermiti,6.63
Burnley,Jay Rodriguez,6.63
Tottenham Hotspur,Bryan Gil,6.63
Sheffield United,Yasser Larouci,6.63
Manchester United,Omari Forson,6.63
Wolverhampton,Santiago Bueno,6.63
Brighton & Hove Albion,Valentín Barco,6.63
Sheffield United,Chris Basham,6.63
Fulham,Armando Broja,6.61
Wolverhampton,Nathan Fraser,6.61
Crystal Palace,Matheus França,6.61
Tottenham Hotspur,Alejo Véliz,6.6
Wolverhampton,Enso Gonzalez,6.6
Newcastle United,Alex Murphy,6.6
Burnley,Han-Noah Massengo,6.6
Luton Town,Ryan John Giles,6.6
Burnley,Benson Manuel,6.6
Aston Villa,Tyrone Mings,6.6
Chelsea,Roméo Lavia,6.6
Liverpool,Owen Beck,6.6
Wolverhampton,Jonny Castro,6.6
Manchester United,Jadon Sancho,6.6
Sheffield United,Auston Trusty,6.59
Burnley,Luca Koleosho,6.59
Nottingham Forest,Cheikhou Kouyaté,6.59
Burnley,Vitinho,6.59
Burnley,Mike Trésor,6.59
Nottingham Forest,Felipe,6.58
Fulham,Fodé Ballo-Touré,6.58
Sheffield United,Ben Osborn,6.58
Aston Villa,Calum Chambers,6.58
West Ham United,Aaron Cresswell,6.58
Burnley,Nathan Redmond,6.58
Wolverhampton,Hugo Bueno,6.58
Brighton & Hove Albion,Odeluga Offiah,6.57
Everton,Michael Keane,6.57
Wolverhampton,Boubacar Traoré,6.57
Wolverhampton,Leon Chiwome,6.57
Sheffield United,Anel Ahmedhodžić,6.55
Liverpool,Jayden Danns,6.55
Newcastle United,Joe White,6.55
Bournemouth,Joe Rothwell,6.54
Brighton & Hove Albion,Benicio Boaitey,6.54
Wolverhampton,Tawanda Chirewa,6.54
Bournemouth,Max Aarons,6.53
Wolverhampton,Daniel Bentley,6.53
Burnley,Ameen Al-Dakhil,6.53
Brighton & Hove Albion,Mark O'Mahony,6.53
West Ham United,Thilo Kehrer,6.53
Sheffield United,Max Lowe,6.52
Crystal Palace,David Ozoh,6.52
Sheffield United,Andre Brooks,6.52
Brentford,Michael Olakigbe,6.52
Sheffield United,John Fleck,6.51
Aston Villa,Nicolò Zaniolo,6.5
Burnley,Hannes Delcroix,6.5
Burnley,Aaron Ramsey,6.5
Sheffield United,William Osula,6.5
Liverpool,Stefan Bajcetic,6.5
Sheffield United,Daniel Jebbison,6.5
Newcastle United,Ben Parkinson,6.5
Aston Villa,Finley Munroe,6.5
Luton Town,Zack Nelson,6.5
Manchester United,Ethan Wheatley,6.5
Nottingham Forest,Rodrigo Ribeiro,6.5
Luton Town,Pelly Ruddock Mpanzu,6.5
Bournemouth,Romain Faivre,6.5
West Ham United,Divin Mubama,6.5
Nottingham Forest,Andrey Santos,6.5
Liverpool,Ben Doak,6.5
Sheffield United,Sydie Peck,6.5
Chelsea,Mason Burstow,6.5
Liverpool,James McConnell,6.5
Brentford,Josh Dasilva,6.5
Burnley,Jack Cork,6.5
Crystal Palace,Naouirou Ahamada,6.5
Sheffield United,Rhian Brewster,6.49
Burnley,Connor Roberts,6.48
Tottenham Hotspur,Eric Dier,6.48
West Ham United,Ben Johnson,6.47
Burnley,Anass Zaroury,6.47
Aston Villa,Tim Iroegbunam,6.46
Tottenham Hotspur,Dane Scarlett,6.45
Chelsea,Deivid Washington,6.45
Brentford,Myles Peart-Harris,6.45
